n,looped
4574,5255473
7863,15290067
1185,370335
8767,18957974
6856,11705096
1060,292895
4169,4392183
7480,13921231
2564,1663720
9644,22968716
9061,20253410
7834,15192710
9245,21058104
127,4253
1738,784483
557,80519
2747,1900424
1654,716121
8784,19037264
7578,14255811
3671,3373103
1681,740536
358,32377
6850,11691703
3817,3676918
7041,12335512
4562,5236271
7036,12325522
8655,18463352
4806,5781218
