n,looped
39,39
22,9
31,31
20,20
93,40
40,26
8,8
84,84
90,90
81,81
57,42
5,5
68,16
69,69
37,37
68,68
48,48
50,50
62,62
96,20
89,43
55,29
91,91
6,6
80,3
21,21
78,65
41,41
35,35
22,22
