N,Complexity
2,6
5,17
2,6
5,15
2,5
17,83
18,93
7,27
20,103
6,20
9,36
14,65
10,43
10,46
4,14
2,6
16,77
9,35
20,99
1,2
9,37
5,18
5,16
11,50
7,26
15,67
20,98
9,37
5,16
4,13
17,80
11,46
15,66
13,59
6,22
16,75
11,45
20,102
17,77
20,104
2,6
4,13
8,35
11,48
13,59
8,34
16,72
7,24
8,29
1,2
