n,looped
5911,66768
9346,111523
6811,78114
4280,46279
9888,118909
8671,102483
4710,51629
730,6051
3242,33881
8367,98507
6353,72311
1046,9193
3243,33798
5031,55560
4714,51650
551,4344
6390,72854
3370,35280
7205,83261
6365,72427
9933,119462
8320,97753
4644,50757
1488,13856
4097,44003
990,8642
2160,21199
8981,106643
8951,106295
5462,61098
